loan_id,cust_id,loan_purpose,loan_type,sanction_amount,loan_amount,processing_fee,gst,net_disbursement,loan_tenure_months,principal_outstanding,bank_balance_at_application,disbursal_date,installment_start_dt,default
L00001,C00001,Auto,Secured,3004000,2467000,49340.0,444060,1973600,33,1630408,873386,2019-07-24,2019-08-10,False
L00002,C00002,Home,Secured,4161000,3883000,77660.0,698940,3106400,30,709309,464100,2019-07-24,2019-08-15,False
L00003,C00003,Personal,Unsecured,2401000,2170000,43400.0,390600,1736000,21,1562399,1476042,2019-07-24,2019-08-21,False
L00004,C00004,Personal,Unsecured,2345000,1747000,34940.0,314460,1397600,6,1257839,1031094,2019-07-24,2019-08-09,False
L00005,C00005,Auto,Secured,4647000,4520000,90400.0,813600,3616000,28,1772334,1032458,2019-07-24,2019-08-02,False
L00006,C00006,Personal,Unsecured,959000,762000,15240.0,137160,609600,14,545965,390704,2019-07-24,2019-08-19,False
L00007,C00007,Personal,Unsecured,2252000,2215000,44300.0,398700,1772000,11,1594799,768707,2019-07-24,2019-08-22,False
L00008,C00008,Education,Secured,547000,416000,8320.0,74880,332800,36,247882,80172,2019-07-24,2019-08-02,False
L00009,C00009,Auto,Secured,2035000,1889000,37780.0,340020,1511200,30,852606,758872,2019-07-24,2019-07-25,False
L00010,C00010,Personal,Unsecured,1706000,1658000,33160.0,298440,1326400,6,1063383,871590,2019-07-25,2019-08-05,False
L00011,C00011,Home,Secured,11356000,11195000,223900.0,2015100,8956000,48,1505182,955953,2019-07-25,2019-08-06,False
L00012,C00012,Home,Secured,5818000,5618000,112360.0,1011240,4494400,27,689266,852696,2019-07-25,2019-08-21,False
L00013,C00013,Education,Secured,1368000,1160000,23200.0,208800,928000,41,417085,349797,2019-07-25,2019-08-17,False
L00014,C00014,Personal,Unsecured,3733000,2969000,59380.0,534420,2375200,14,1907061,1351929,2019-07-25,2019-08-15,True
L00015,C00015,Home,Secured,2002000,1954000,39080.0,351720,1563200,46,224503,244996,2019-07-25,2019-08-19,False
L00016,C00016,Auto,Secured,776000,744000,14880.0,133920,595200,25,311077,198453,2019-07-25,2019-08-08,False
